"Data/Hora","Termperatura Externa","Temperatura Interna"
"2020-10-15 15:56:06","-1.00","22.15"
"2020-10-15 15:56:08","-1.00","22.15"
"2020-10-15 15:56:10","-1.00","22.15"
"2020-10-15 15:56:12","-1.00","22.15"
"2020-10-15 15:56:14","-1.00","22.15"
"2020-10-15 15:56:16","-1.00","22.15"
"2020-10-15 15:56:18","-1.00","22.15"
"2020-10-15 15:56:20","-1.00","22.15"
"2020-10-15 15:56:22","-1.00","22.15"
"2020-10-15 15:56:24","-1.00","22.15"
"2020-10-15 15:56:26","-1.00","22.15"
"2020-10-15 15:56:28","-1.00","22.15"
"2020-10-15 15:56:30","-1.00","22.15"
"2020-10-15 15:56:32","-1.00","22.15"
"2020-10-15 15:56:34","-1.00","22.15"
"2020-10-15 15:56:36","-1.00","22.15"
"2020-10-15 16:02:32","-1.00","22.15"
"2020-10-15 16:02:34","-1.00","22.15"
"2020-10-15 16:02:36","-1.00","22.15"
"2020-10-15 16:02:38","-1.00","22.15"
"2020-10-15 16:02:40","-1.00","22.15"
"2020-10-15 16:02:42","-1.00","22.15"
"2020-10-15 16:02:44","-1.00","22.15"
"2020-10-15 16:02:46","-1.00","22.15"
"2020-10-15 16:02:48","-1.00","22.15"
"2020-10-15 16:02:50","-1.00","22.15"
"2020-10-15 16:02:52","-1.00","22.15"
"2020-10-15 16:02:54","-1.00","22.15"
"2020-10-15 16:02:56","-1.00","22.15"
"2020-10-15 16:02:58","-1.00","22.15"
"2020-10-15 16:03:00","-1.00","22.15"
"2020-10-15 16:03:02","-1.00","22.15"
"2020-10-15 16:03:25","-1.00","22.15"
